id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,0.000005,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,
70666,70890,,,Gl 551,,Proxima Centauri,14.495985,-62.679485,1.2959,-3775.64,768.16,-16,11.01,15.447,M5Ve,1.807,-0.472264,-0.361451,-1.151219,-0.00001186,0.00002079,0.00001675,3.7950399168,-1.0939633847,-1.83048192485278E-005,3.724144768E-006,,,Cen,1,70666,,5.77032135332929E-005,V645,11.079,10.939
71453,71681,128621,5460,Gl 559B,Alp2Cen,,14.660346,-60.8383,1.3248,-3678.19,481.84,-26.2,1.35,5.739,K1V,0.9,-0.495181,-0.413973,-1.156674,-0.00000722,0.00002476,0.00002491,3.8380695708,-1.0618286488,-1.78323683168264E-005,0.000002336,Alp-2,,Cen,2,71456,Gl 559,0.4409608165,,,
71456,71683,128620,5459,Gl 559A,Alp1Cen,Rigil Kentaurus,14.660765,-60.833976,1.3248,-3678.19,481.84,-26.2,-0.01,4.379,G2V,0.71,-0.495203,-0.414084,-1.156625,-0.00000722,0.00002476,0.00002491,3.8381792118,-1.0617531758,-1.78323683168264E-005,0.000002336,Alp-1,,Cen,1,71456,Gl 559,1.5431210657,,0.113,-0.087
87665,87937,,,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.84,9999.99,-111,9.54,13.235,sdM4,1.57,-0.017373,-1.816613,0.149123,-0.00000591,0.0001204,0.00007888,4.7028260317,0.0819150787,-0.000003868,5.0066369421E-005,,,Oph,1,87665,,0.0004425884,V2500,9.59,9.49
118720,,,,Gl 406,,,10.941484,7.01532,2.3906,-3822.95,-2716.83,13,13.45,16.557,M6,2,-2.282811,0.649334,0.292057,-0.00000433,0.00004728,-0.00002961,2.8644736868,0.1224404373,-1.85341846007986E-005,-1.3171553821E-005,,,,1,118720,,2.0758692704952E-005,,,
53879,54035,95735,,Gl 411,,Lalande 21185,11.055632,35.969877,2.5469,-580.2,-4767.09,-84.3,7.49,10.46,M2V,1.502,-1.998,0.504305,1.495504,0.00003587,-0.00000166,-0.00009828,2.8943575772,0.6277927933,-2.81288897458333E-006,-2.3111504484E-005,,,UMa,1,53879,,0.0057016427,,,
118079,,,,Gl 65A,,,1.650199,-17.949782,2.6267,3312.95,560.34,29,12.57,15.473,dM5.5e,1.85,2.270499,1.04697,-0.809963,0.00001,0.00005104,-0.00000236,0.4320210687,-0.3132827983,1.60616348299653E-005,2.716614673E-006,,,,1,118079,Gl  65,5.63378150850937E-005,,,
118080,,,,Gl 65B,,,1.650199,-17.949782,2.6267,3312.95,560.34,32,12.7,15.603,dM5.5e,,2.270631,1.047031,-0.81001,0.00001265,0.00005226,-0.0000033,0.4320210687,-0.3132827983,1.60616348299653E-005,2.716614673E-006,,,,2,118079,Gl  65,4.99804313578238E-005,,,
32263,32349,48915,2491,Gl 244A,9Alp CMa,Sirius,6.752481,-16.716116,2.6371,-546.01,-1223.08,-9.4,-1.44,1.454,A0m...,0.009,-0.494323,2.476731,-0.758485,0.00000953,-0.00001207,-0.00001221,1.7677953696,-0.2917512585,-2.64713117720139E-006,-5.929659164E-006,Alp,9,CMa,1,32263,Gl 244,22.8244331217,,-1.333,-1.523
118441,,,,Gl 244B,,,6.752559,-16.71524,2.6371,-543.2,-1203.05,0,8.44,11.334,DA2,-0.03,-0.494379,2.476814,-0.75847,0.00000768,-0.00000297,-0.00001473,1.7678158456,-0.291735967,-2.63350791277778E-006,-5.83256068E-006,,,CMa,2,32263,Gl 244,0.0025491771,,,
92115,92403,,,Gl 729,,,18.830369,-23.836232,2.9698,637.55,-192.47,-12.1,10.37,13.006,M3.5Ve,1.51,0.585883,-2.652454,-1.200123,0.00000628,0.00001413,0.00000247,4.9297790296,-0.4160207358,3.09092962038194E-006,-9.3312089E-007,,,Sgr,1,92115,,0.0005465124,V1216,10.408,10.338
119585,,,,Gl 905,,,23.698379,44.174924,3.1686,84.26,-1607.79,-77.7,12.29,14.786,dM6  e,1.9,2.262649,-0.179022,2.205274,-0.00003953,0.00000443,-0.0000731,6.2042211512,0.770997876,4.08504007236111E-007,-7.794800419E-006,,,,1,119585,,0.0001060718,,,
16496,16537,22049,1084,Gl 144,18Eps Eri,,3.548848,-9.458262,3.2161,-976.44,17.97,16.9,3.72,6.183,K2V,0.881,1.89897,2.541426,-0.528523,0.00002243,0.00000458,-0.00000256,0.9290861752,-0.1650778157,-4.73391470241667E-006,8.7121018E-008,Eps,18,Eri,1,16496,,0.292954383,Eps,3.735,3.715
113687,114046,217987,,Gl 887,,Lacaille 9352,23.097531,-35.853073,3.2759,6767.26,1326.66,9.5,7.35,9.773,M2/M3V,1.483,2.581532,-0.621353,-1.918773,0.00004484,0.00009974,0.00001138,6.0469195383,-0.6257541625,3.28086022787639E-005,6.431829174E-006,,,PsA,1,113687,,0.0107349494,,,
57375,57548,,,Gl 447,,,11.795666,0.804563,3.3553,605.62,-1219.23,-31.1,11.12,13.491,M4.5V,1.746,-3.349892,0.179372,0.047111,0.00003095,-0.00001152,-0.00002028,3.0880980421,0.0140422688,2.93612861218056E-006,-0.000005911,,,Vir,1,57375,,0.000349623,,11.171,11.041
119518,,,,Gl 866A,,,22.642562,-15.302542,3.3979,2361.37,2233.03,-60,12.66,15.004,M5  e,1.98,3.069893,-1.139264,-0.895949,-0.0000328,0.00005369,0.0000517,5.9278087812,-0.2670797493,1.14482448085347E-005,1.0826054323E-005,,,,1,119518,Gl 866,8.67760744991146E-005,,,
